[Fat : 18.499189747750002, Carbs : 36.171883132999994, Fiber : 10.074200000000001, Protein : 85.99832665100001, Sodium : 3935.480479225, Calcium : 500.318256075, Magnesium : 211.320298275, Potassium : 2584.2506550750004, Phosphorus : 1016.7340821750001, Vitamin C : 133.82295, Iron : 16.434090399749998]

[Fat : 335.58943543929445, Carbs : 363.6620563257178, Fiber : 43.17815875999757, Protein : 81.22705874264413, Sodium : 2603.306889040274, Calcium : 6151.039034330649, Magnesium : 402.9619385662087, Potassium : 2755.205166465605, Phosphorus : 2759.2586687068447, Vitamin C : 88.52516977999888, Iron : 16.587732480228055]

[Fat : 85.8179977, Carbs : 317.60329920000004, Fiber : 20.197699999999998, Protein : 67.19401450000001, Sodium : 1430.3302700000002, Calcium : 1326.16568, Magnesium : 329.98563999999993, Potassium : 2294.9836800000003, Phosphorus : 1692.06118, Vitamin C : 1.6499000000000001, Iron : 43.870971399999995]

[Fat : 170.51571250000077, Carbs : 6.783531250005048, Fiber : 0.30586458333423944, Protein : 160.28896875000117, Sodium : 1710.5980208333658, Calcium : 105.98968750001166, Magnesium : 206.06625000001551, Potassium : 2665.27375000073, Phosphorus : 1800.088333333354, Vitamin C : 61.31762500003883, Iron : 3.849560416667314]

[Fat : 0.6448, Carbs : 56.084, Fiber : 0.992, Protein : 0.496, Sodium : 20.2, Calcium : 39.68, Magnesium : 25.16, Potassium : 505.4, Phosphorus : 34.839999999999996, Vitamin C : 4.464, Iron : 0.5975999999999999]

[Fat : 18.403200000000002, Carbs : 230.93460000000002, Fiber : 16.614, Protein : 27.349200000000003, Sodium : 3012.382142784, Calcium : 168.1393724935966, Magnesium : 294.01606518723327, Potassium : 5330.0423294978655, Phosphorus : 702.9000000000001, Vitamin C : 72.846, Iron : 11.113233991786954]

[Fat : 30.512644571375002, Carbs : 40.803961639625, Fiber : 6.733500000000001, Protein : 6.727360648000001, Sodium : 63.419055787500014, Calcium : 150.65767285000004, Magnesium : 66.56637052500001, Potassium : 762.3523838500001, Phosphorus : 201.94548210000002, Vitamin C : 10.6169904625, Iron : 2.4704379540000003]

[Fat : 85.60793965362652, Carbs : 165.16912130518674, Fiber : 50.254742121357694, Protein : 27.59579910807733, Sodium : 4011.924397502593, Calcium : 956.9247676858872, Magnesium : 312.09534724669544, Potassium : 5299.900380040838, Phosphorus : 720.5615746024512, Vitamin C : 497.33150953500007, Iron : 13.728964695751133]

[Fat : 1.3299187500065772, Carbs : 133.77639875027634, Fiber : 26.499412500004386, Protein : 10.387601250012851, Sodium : 0.17196446096842766, Calcium : 441.73897334572683, Magnesium : 110.63161611549683, Potassium : 1999.8285000019425, Phosphorus : 154.78050000028333, Vitamin C : 587.3987000000909, Iron : 1.1157125000125814]

